"GFP1" "GFP2" "A4A1" "A4A2" "p.Gene.ID"
"O00330" 501.4 502.8 464.3 472.3 "PDHX"
"Q96GX9" 253.4 237 261.9 251.2 "APIP"
"O76071" 551.6 577.9 498 533.2 "CIAO1"
"Q15398-3" 844.8 825.3 942.7 1014 "DLGAP5"
"O15066" 832.1 813 826.8 837.4 "KIF3B"
"Q00577" 2500 2558.6 2797.6 2535.2 "PURA"
"Q9UGI8" 3248.1 3317.2 3308.3 3684.9 "TES"
"Q13185" 926.1 938.3 1101.6 1166.1 "CBX3; C15orf57"
"Q15750" 1269.4 1143.9 1522.1 1331.7 "TAB1"
"Q15029-2" 160.4 193.6 121 128.8 "EFTUD2"
"P45974" 1994.6 1839.9 1785 1731.4 "USP5"
"P04075" 26257.2 21573.7 27668.5 20917.6 "ALDOA"
"Q15084-2" 1985 2524 1423 1883.3 "PDIA6"
"Q71RC2" 1620 1655.5 1981.3 2029 "LARP4"
"P63104" 7684.6 6507.9 6639.3 6047.5 "YWHAZ"
"P08195-3" 304 319.2 233.8 253.8 "SLC3A2"
"Q9UI08-2" 86.9 100.3 82.8 88.7 "EVL"
"Q9BZF9-2" 5535.7 5664.9 7904.7 7597.2 "UACA"
"A0A0B4J2D5" 695.1 615.9 718.6 599.3 "C21orf33; LOC102724023"
"Q9H5N1" 1415.2 1380.2 1495.2 1447.6 "RABEP2"
"Q14C86" 717 730.6 758.2 746.1 "GAPVD1"
"Q9Y6D5" 2361.4 2217.3 2284.4 2158.6 "ARFGEF2"
"P23396-2" 722.5 933 435.4 551.2 "RPS3"
"Q969G3-3" 1621.7 1775 1548 1685.4 "SMARCE1"
"P26641" 5570.3 6503.2 3628.4 4447.5 "EEF1G"
"Q9BQ67" 1043.4 1159.8 1015.1 999.7 "GRWD1"
"P11586" 4442.2 4155 4412.4 4330.3 "MTHFD1"
"Q8TCU4" 1240.8 1286.2 1199.6 1277.8 "ALMS1"
"D6W5Y5" 538.4 572.9 851.1 874 "CIRBP"
"Q9UPS8" 1567.5 1614.9 1616.8 1673.9 "ANKRD26"
"P27824-2" 2461.2 2890.3 1707.7 1806.9 "CANX"
"Q9BYG5" 831.3 860.8 809.9 847.1 "PARD6B"
"P53597" 2049.7 1935.6 2102.3 2079.4 "SUCLG1"
"O75381" 849.1 973.7 749.2 875.2 "PEX14"
"P10644" 1259.4 1275.1 1242.6 1315.7 "PRKAR1A"
"Q9Y4G6" 429.3 399 425.1 423.7 "TLN2"
