"T0_1" "T0_2" "T2" "T4" "T6" "T10" "T10chx" "T20_1" "T20_2"
"Q71RC2-5" 219108.155133856 246869.431250178 239586.571161609 258090.953486778 287112.0211729 290863.888523891 246931.873918776 239882.14962626 237723.196548125
"H3BPM3" 5829.35448121621 8341.61271068912 5559.14389946785 6542.8974714038 6228.21361817371 7640.13646577441 6809.90965596573 6499.78023031533 3091.8810006889
"Q9NUL3-4" 15044.0910846924 12132.8694816437 19486.861624419 23425.0556892898 26515.1077385685 18832.4284686269 15131.6982004115 23431.2696390847 21387.2052585197
"O96028-5" 3325.13314503681 4476.73771736828 3866.8883850636 3997.84505971045 6062.46472758173 6812.70898279877 3620.13196794425 3893.16151028657 3960.75534085587
"E5RIC7" 11410.8717928102 16862.6798708413 17786.936654882 13520.8783832156 19539.1267151691 13439.4327802924 11955.7325832327 17916.7875170492 18414.2921064021
"Q96GD4-2" 1959.91563798001 4353.88030066734 2140.2734726554 2840.21944750862 964.227927139474 2842.98516733569 1809.583560492 880.034051179847 1738.95036187722
"D6RIC3" 9149.02929552831 9969.26502474963 4403.36477971774 6015.26829287524 9328.09923342994 13674.3891141509 11030.7913794026 11080.1245835244 10088.5631143051
"Q9NWB1-2" 4536.97032285452 2250.48824771879 3845.42066111806 2308.54972954514 7272.10464385812 4255.04530039696 1625.39143098549 4638.4770755842 5136.22641657751
"Q96GX9" 4363.65385267627 2526.3208581516 5586.45663778055 3996.21746007815 1961.06516676081 5637.44322083268 2306.81462482464 2883.52878127385 5638.32004384974
"E9PD92" 45419.7022269606 34220.3446081543 25229.0304060442 30215.7385176411 33618.3359625883 35635.3392635524 33266.0987041175 36629.7043409431 36448.6645913222
"Q0JRZ9-2" 10675.7781875036 10036.2501504982 7152.23853554172 8449.71036956814 10884.8643518305 12553.2447825042 12046.8906113169 10178.4448093366 10025.9373078554
"M0R1V7" 738230.79792743 559265.462800801 869750.598751715 784532.671651473 925699.016998633 1122970.45972733 853516.423986783 1966289.69996372 1930595.78659542
"P49757-6" 3456.68593377963 2010.61679787852 1231.9200453343 1648.27880806968 1988.03476521118 5688.3343327168 5498.32281215875 3470.71658322709 5183.60966411117
"O76071" 58787.2693239143 61975.4954251925 46008.6446058576 56329.6068617323 59780.116952307 65507.2526996386 58826.654151407 53472.0328670963 55358.9267858632
"Q53EP0" 5187.45647733388 4891.45934251804 1539.29952936387 4581.63341035091 5184.80229038215 5332.6200785207 6186.24338807691 4542.54916428989 5027.91171192644
"Q5TA01" 24419.6631504068 20767.9339974228 30329.9301199465 28057.6958414774 24607.5613146036 32943.4947477418 23822.4091602959 34475.2863147987 33520.7534546045
"Q15398-3" 48177.1884326719 61407.7206515107 70779.8631796392 62469.5335066253 70860.4162361017 48408.6089164524 48448.8716628351 57192.890926592 53676.5307200465
"Q13423" 8771.46201791958 5044.67531019328 2725.82458159136 3086.93515553269 2298.54729240087 2396.83407614278 2084.72390572903 3594.94733139963 3688.69766100385
"O15066" 10976.5479566194 11763.6297044592 9582.43922978937 13981.9209063678 17567.7178239829 18214.2148150945 18113.7510353679 20476.4499198606 14593.8279526074
"A0A087WUL9" 12627.7051370605 13045.9940595053 6735.05122672188 12005.5682269179 9323.31266347882 8529.67425543683 8522.75688266442 12382.4846714346 8455.8533241031
"E9PM83" 102908.719217523 96011.4627518177 96922.7317865963 104693.079606567 129935.442335438 121766.85416474 136344.168469734 131211.304024443 135007.359726797
"K7EPM2" 7706.13919460139 9424.44089209089 6734.88636250535 9117.58306293637 6230.14238241966 7439.38728443994 8162.64687136947 6280.95338529835 7895.70235036452
"M0R1D6" 5601.16774431218 2195.44350475385 2987.23575221607 1865.46616502371 4958.81284638675 6272.24791277946 4626.58707974788 3723.06833810143 3678.08961164098
"Q9BRX9" 31242.5501652699 34766.5138118885 26607.5828037551 35548.4646314 38807.5003977074 42247.8240877034 50461.7660225809 38083.6605707907 35731.8654483298
"Q12802-2" 66102.8835497197 76810.9261166336 69659.6411840988 80713.2276976046 83099.1325755821 57879.2639917232 58173.7665443557 64704.0902599246 59329.9421021544
"O60942" 6217.16100002638 5501.07458827182 919.086391207563 4699.50810679357 5336.39123364949 4585.11724146458 3952.79340623614 995.499318318305 4038.61166662932
"H7C5L8" 2798.97384513028 2417.28189835807 1631.59959099901 1705.77208185042 2042.28634228928 3690.10571228923 2129.68766943278 1494.09163316362 2841.97071293806
"Q00577" 45124.9879437828 48022.6203877755 35616.0214358313 38234.9113635137 39187.1737923238 45908.4859139194 38962.9651374426 49632.8945057035 42848.8506499335
"A0A0A0MTP3" 45890.3121822425 46943.9354218317 56769.5194721594 53009.7971918376 53048.0814656601 46306.3303529166 46344.0411916543 42280.6029968712 48469.6349575226
"H3BSV8" 86932.4246111337 85657.6194903604 118451.342972717 89959.5123382604 90704.2842309202 69972.5337686395 64562.4833843469 76047.47967462 77725.9601529341
"P56545-2" 88329.2049327368 104400.703414253 64015.6729938845 92916.5531981233 86419.4411600545 71728.9805002455 86246.1309896523 71806.676130608 65880.7473567577
"Q9UGI8" 230403.868859331 239187.143141261 333731.067528215 257676.209715831 354815.858174085 302268.914625335 288883.277967393 350482.231137884 312676.562300996
"E7ETM0" 3267.21654308475 5416.50548980485 4967.33341830476 814.629207100687 1786.33800242332 3935.67498206556 1041.1099066351 1157.76297190671 4268.72213294635
"E9PJ36" 7792.98785931135 7781.90832826317 3580.91541017579 5613.71977728664 12721.517089384 10116.9342757 10588.7784662851 9042.6052157976 7712.54108674165
"M0R019" 152279.722745416 115490.703422747 188919.043930127 105677.227962011 106486.504767217 120462.816252392 97189.8336076755 113575.67393277 125563.949508845
"A0A140TA76" 90198.2562547777 92164.268347162 102739.298680971 96295.6930707316 121819.149606161 120915.665995569 114942.739870117 108399.322572665 113059.96140132
"Q13185" 52284.5790662098 57320.3431124809 59501.1911533481 52129.2003553934 57410.6355893995 65432.1136832821 62965.2659460399 74138.8784707051 70188.4039160806
"K7EL62" 20211.1515782519 24833.1626102259 14230.1507521527 17431.3111703274 18501.9848926124 16707.4479119263 22084.7372647389 12438.7934342189 15300.6843120721
"A0A087WYK6" 20058.7968990887 26249.7836875049 25185.3624780656 25865.7152582836 15720.4636653475 8014.97041050178 11139.8290063209 11461.383992824 9275.8483812701
"A6PW57" 29092.7583128297 30699.6793794324 24988.8469585117 33050.2144344831 24213.2889150143 31391.5138134935 30666.339578466 17152.4571550428 26004.1539507224
"B7Z9U0" 5467.99077773061 10724.7392854583 8242.18155683881 6613.03847817198 6986.85724082541 7161.45404022123 7592.58840445451 6018.34926937147 6909.87360377131
"J3KRX8" 130883.008418303 124024.572057419 103359.763242792 81741.0324215548 95488.9990182432 77379.6614004729 64300.9722571382 70686.2442817403 76541.3707140499
"Q8WXA3-4" 15809.6052084083 15685.8125512271 15595.9128328659 15412.4165242903 15841.9568080695 13402.9469563034 14036.4332729273 11654.7711151584 16170.3241374912
"E7EUC7" 4713.13966601714 1372.90627731889 6008.5889824258 4732.07128866473 8014.3287554799 5955.62092855318 4702.16396923768 4615.55234455727 8384.18668159997
"H0YAJ5" 8189.0063275666 7194.84360845095 6689.34475178097 7662.24542250582 6746.20881328682 6596.97684339124 6967.2440530983 7836.75198132449 6654.0484627444
"H0Y9H1" 3537.02795789475 2422.73265758773 3404.62901909666 2490.04718042606 1880.14569483881 1562.45265111381 1780.6368274908 3862.819377664 3177.08109865441
"Q8TDQ7-5" 6900.58534646102 7406.09299733166 7788.49483167085 6331.43988340969 8272.59266529806 5851.09566320907 6042.63824057162 6453.55723865919 5477.11563332882
"Q15750" 49593.7492759053 53189.3274322983 35224.8609997211 37611.2616663958 55618.0620529795 54674.0810215493 53774.1067971015 58509.4361847952 55526.6543403771
"H0YDE4" 169225.985908455 188939.576631485 164586.998215638 168192.974965961 157126.471237514 142056.326344573 164319.108886813 146696.980940034 161616.974681148
"Q15029-2" 165544.312289099 154220.727464757 153318.724991845 177969.024211866 161962.97253087 169127.101213194 195859.520187341 162758.237942129 163963.949687675
"P45974" 156423.571839871 153650.611668489 127925.574799015 146537.424262367 160038.205586062 167850.623189681 132621.532655043 176650.532667387 174860.915465462
"P04075" 803144.0027386 658627.26002974 947748.417047156 708917.295235908 837890.677999709 1165612.84922655 927163.270232424 1115062.44831388 1184154.21958033
"H3BUI9" 33890.0558492059 39979.8356406243 19315.886291804 23048.6267595105 19558.9861547903 26457.3422888855 21793.3567702584 17735.3280720694 16696.6924910787
"K7ERP4" 13017.840312104 16589.351887603 11924.8445361166 12680.4141402741 18427.2595493717 15286.0862811568 15462.8199983838 15121.9865506778 15478.127222917
"Q15084-2" 169008.742641387 156684.030617031 216371.873511715 143827.530631014 147621.154691003 121584.419339877 119147.790109344 125451.692640934 134004.10239308
"Q7Z624" 5370.72151952155 6011.92075250621 4225.75471190686 6751.84295513553 7292.79955309539 4443.65232099757 4651.46130372671 5139.95370050752 7226.4237927588
"Q9BSJ2" 3986.41836083687 6196.63320796134 3975.68283327889 4649.71389027147 4403.02127283 4436.20167352267 5353.20276938912 4715.18051428371 5504.24200287178
"H0YIQ2" 14578.9329460017 13901.9700495225 16262.4416014643 15707.725238903 16008.5117616662 17497.8076356333 22394.4281800546 13876.5277369258 17520.0412375196
"Q01780-2" 75473.9138189383 70139.6013812332 65298.5265046179 70654.7713132253 77379.6912306733 67325.602583427 72083.314546021 68163.8530805714 68827.7517224776
"Q9Y2S0" 9570.4549196156 10595.7685396602 10441.7825329464 7810.0282615451 14507.034883725 9629.65038266152 7149.08503934548 9716.27179474806 13717.9732228388
"H3BQZ9" 91498.0576082448 76001.0736322558 72726.5517790485 76153.9468949795 78710.2450811525 126134.641528704 96544.2503654597 114425.121004313 122629.63516771
"Q9NW15-2" 2049.98487569909 1612.58575374478 1549.18881541306 1479.82501474858 1040.59717548657 1867.74928344772 2394.62914383241 1868.22112469871 2587.44983992784
"H0YLP3" 9896.42488679102 7802.88378495209 15015.5794316599 10751.2255293021 10971.603760554 15312.6190062985 13160.449414747 13041.5345237497 17175.4719013829
"Q8NHQ8" 16058.612209333 14907.9814180349 8111.32518858578 20298.2918937672 19165.3363177236 17535.7610628871 19477.4906924643 14251.0139469463 17471.0524548773
"E5RJM9" 87651.8496712131 90598.0251175447 105838.024333485 95152.3544743011 91913.6235664328 68690.9060152512 80182.2604018209 100905.33534175 90253.0027696483
"Q71RC2" 219108.155133856 246869.431250178 239586.571161609 258090.953486778 287112.0211729 290863.888523891 246931.873918776 239882.14962626 237723.196548125
"Q86SQ0" 4213.41189621553 5691.8351720443 3323.37994544827 6493.05487977597 2288.04920449424 5908.45725714513 3865.98271223624 4189.78915162051 3343.38571039772
"P0DJD0" 89658.4867085416 105182.56261798 142097.601099509 126606.466591151 88354.0649075396 67360.7088660118 98840.5463441204 58735.3103175917 60066.8441585619
"E9PNK5" 41466.5708806712 41312.1755686138 27092.6520482637 38973.7217568242 40580.857090684 46621.0097982382 43630.8424166561 43795.0957073244 46860.1021162623
"P31751" 46095.9740832446 65797.7766482581 58859.3930627919 70508.6747269627 48938.3161584657 48368.6751833417 62635.2155512719 47879.2456442477 52759.7273815142
"P04637-8" 48531.5376275798 71965.2007997929 46006.1668335595 74433.1899427611 49041.5534726266 44396.5296460073 86049.7666966009 36507.3201818704 38711.0470027611
"Q9UBI9" 4839.55750600187 6872.79994525691 3332.29940286788 2116.98609957315 7306.17242535139 7145.39659055044 3511.6978727623 3553.89950925409 4862.38463330927
"Q9BQ52-4" 5716.68100667057 4656.05307064236 4260.3812028899 2392.45367575811 5116.98334419615 4447.18613674308 6281.7397216551 2954.13821133578 4285.35033217308
"Q92538" 107492.994098676 138256.371665379 100704.078523596 133652.932245617 125387.745593982 107196.571100994 142094.588666227 144666.442160583 122931.860603406
"K7EN91" 25352.6031446578 30833.4636857815 24662.9765788941 25485.6650253637 26408.9133857292 24346.7469655676 26738.4930149435 22092.9987907238 22917.432282573
"K7EPK9" 17118.1928346991 18507.6784977009 12745.9620231237 16832.3164417493 21547.8379910343 16803.9790334671 21418.4519457871 18754.8582456913 19830.1326926476
"Q8N684-3" 43659.3101114693 56883.5605961983 51241.4305668763 53512.793454829 48577.9330184071 37765.0138471452 54153.6017897074 37271.4919080511 50194.5207842876
"H0YEK7" 17287.9269921759 18884.7301874028 17865.985265694 24578.0242289514 23887.4926536169 17498.7594986198 23669.7070246852 20556.2250656824 22078.1198407817
"P04632" 7012.824487447 7428.79904019355 12091.143733107 8476.67444328119 10222.5268878757 9602.1689924271 9316.95664220393 8985.15233097984 9198.63748163452
"P29558-2" 1077.76335537128 1051.51617547315 7451.79615242075 878.735836826859 4041.35036949353 5127.98411848972 2043.78726682148 6706.88446553704 4394.9818237932
"C9JY63" 10449.7579864032 12828.960890804 8917.47324077005 9408.25329220192 7076.38048964431 10119.5347907693 9986.76466954943 11624.1375669334 10493.9389893007
"K7ELW0" 145613.155308891 99793.6866820356 165806.022169241 112760.798881965 153549.631921486 205822.456377024 131315.239338088 222132.245068527 228014.746910509
"O75400-2" 4429.02275262294 5078.57396140899 1145.30454254002 4458.0873821069 4384.74387207324 6242.60741692874 5053.97436849444 2298.81644971656 3166.9014858997
"C9J5D1" 68058.9825224561 51133.6074364997 66049.1231886669 42576.1939537329 46803.1058317719 58782.9420634394 40499.8048023844 43615.3701978656 49631.2982878897
"P63104" 245324.588657264 206715.927932184 261256.724754035 219309.800902482 240105.564156222 271846.087707815 232340.128737845 263524.559930351 264393.052098492
"P08195-3" 5585.3505084374 8240.60843960624 3216.26005825543 5495.58859579031 5394.91563885749 5312.38306391212 5167.38695967754 4504.05309312916 4142.60538167736
"A0A087X2I1" 95110.4138241368 108241.637543002 75495.1706032135 97714.2637704908 100849.912222611 101476.119246575 104568.89363096 121063.047656077 109782.215262052
