"gmut1" "gmut2" "4E1" "4E2" "gfp1" "gfp2" "gfppp2421" "gfppp2422" "4Epp2421" "4Epp2422"
"P35580" 1623.6 1712.5 1705.5 1750.3 2413.7 2740.1 2341.4 1869.7 2262.9 1899.1
"A0A0D9SGF6" 544.4 522.3 654.1 660 910.6 1058.6 895.7 945.5 622.7 612.3
"Q13813" 544.4 522.3 654.1 660 910.6 1058.6 895.7 945.5 622.7 612.3
"O43707" 1629.2 1829.3 3773.1 3691.9 4339.8 4608.6 4670.1 4360.8 2812.2 2453.6
"P46821" 1343.3 1599.9 1926.7 1809.4 1091.3 992.4 965.5 1013 1378 1335.8
"P21333" 248.9 230.1 239.9 243.4 222.5 219.6 244.6 207 212.3 222.3
"P55072" 1212.6 1185.2 2174.2 2247.9 1681.4 1639.6 1352.9 1471.4 1820.3 1461
"P0DMV9" 7102.5 7158.2 10411.9 10678.7 6766.8 6216.7 5609.7 6158.8 9031.6 9307.5
"Q9Y230" 2571.3 2833.3 3687.2 3729.7 3825.4 3918.7 3134.7 3241.5 3134.9 3323.3
"P49327" 225.5 247.8 223.7 212.7 146.2 124.9 286.1 258.3 279 348.8
"P35579" 474.7 501.5 531.6 583.6 842.6 1001.6 824.1 651.3 1093.5 911.6
"P11940" 1534.9 1478.3 1146.9 1159.4 414.9 380 358.4 329.8 627.5 746.7
"P07900" 1382.3 1437 810.1 846.1 1058.2 1065 1363.8 1158.2 1020.9 1370.7
"J3KPS3" 693.2 657.7 996.7 1012 867.7 918.6 822.5 920.6 906.1 708
"P04075" 693.2 657.7 996.7 1012 867.7 918.6 822.5 920.6 906.1 708
"Q14247" 36.1 47.3 58.8 40.3 36.7 52.4 51.1 44.3 37.6 51.1
"P08727" 483 469.3 639.4 660.7 563.1 621.1 417.8 426.6 415.9 362.3
"P55884" 385.9 430.3 523 554.5 432.2 370.5 233.2 261.3 362.6 488.3
"P08670" 485.8 442.9 300.7 230.9 349.3 398.2 308.4 352.4 149.1 163.5
"P05787" 625.8 623.1 1000.8 947.5 919 975.3 652 638.1 625.9 524.5
"P07437" 738.2 730.2 579.6 566.4 863.4 876.1 980.2 896.5 625.2 653.8
"P50990" 161.6 192.1 133.8 133.1 147.1 138.9 150.1 170.1 123.3 172.8
"O75369" 236.9 227.9 185.1 184.3 200.1 209.2 231.3 213 210.4 198.6
"P27816" 239.8 233.8 230.6 223.9 221 189.8 196.8 234.5 232 279.1
"P63261" 1974.1 2069.2 2453.5 2704.6 3233.5 3930.1 3479.9 2835.6 3020 2546
"P60709" 1974.1 2069.2 2453.5 2704.6 3233.5 3930.1 3479.9 2835.6 3020 2546
"A0A1C7CYX9" 400.8 401.3 371.7 381.8 481.6 461.2 443.9 472.7 422.7 434.5
"Q9Y520" 240.6 233.3 272.5 257.3 178.8 188.4 185.2 184.3 199.4 216.9
"Q9Y5K6" 534.9 528.2 596.9 587.4 566 545.3 549.6 544.6 559.4 522.7
"F5H5D3" 417.1 401.7 328.4 315.5 501.2 560.6 823.4 668.7 384.9 398.5
"Q9BQE3" 417.1 401.7 328.4 315.5 501.2 560.6 823.4 668.7 384.9 398.5
"P38646" 221.7 202.5 256.1 242.6 194.8 206.9 195.4 195.1 234.6 259.7
"P23588" 1292.1 1242.5 2123.7 2130.3 1485.7 1673.9 1593.5 1480.7 2483.8 1907.9
"P52732" 153.3 157.7 173.6 174.1 147.8 151.9 153.3 157.6 168.6 169.1
"Q92945" 191 190.7 276 280.2 259 280.1 363.5 430.7 425.8 427
"P11142" 1153.2 1120.2 1382 1407.3 1019.3 964.7 847.6 926.5 1180.7 1242.8
"Q9Y490" 184.9 195.5 227.4 215.4 258.1 278.5 281.9 275.9 224.8 219.3
"Q02790" 384.3 369.3 481.1 513.3 571.8 569.5 519.5 549.7 495.4 477.8
"Q9C0C2" 162.6 136.3 206 184.9 159 149.6 118.4 148.6 154 162.1
"O60271" 174.3 177.2 136.4 137.2 161.2 143.3 126.3 152.9 91.5 123.2
"Q8WUM4" 25 18.5 22.4 26.1 30.4 28.9 34.4 36.2 25.6 19.5
"O14974" 325.4 330.6 479.9 525.5 271.4 276.9 224.2 252.3 456 381
"P23526" 350.6 409.3 390.7 445.3 498.8 428.5 408.1 399.9 333.6 412.1
